Average of Main_floor,Average of Second_floor,Average of Third_floor,Average of Fourth_floor,Average of Basement,Time,Month
124.50,125.50,43.00,41.50,79.00,17.5,1
115.61,105.56,34.39,29.17,84.94,17.5,2
113.27,86.64,35.73,31.91,80.14,17.5,3
85.24,58.59,24.06,22.29,89.06,17.5,4
39.71,25.94,12.29,11.24,59.12,20,3
35.15,18.15,11.38,9.92,78.31,20,4
33.00,30.50,13.50,9.00,64.50,20,1
23.09,18.45,6.05,6.27,62.50,20,2
11.80,4.00,1.60,3.80,87.40,17,2
11.63,0.00,0.00,0.00,18.63,17.5,5
11.33,0.00,0.00,0.00,21.33,17.5,6
11.33,0.00,0.00,0.00,20.67,18.5,6
10.79,0.00,0.00,0.00,20.50,18.5,5
10.00,0.00,0.00,0.00,15.50,19.5,6
8.39,0.00,0.00,0.00,16.91,19.5,5
4.83,0.00,0.00,0.00,15.33,20.5,6
4.43,0.00,0.00,0.00,12.39,20.5,5
3.00,0.00,0.00,0.00,7.83,21.5,6
1.74,0.00,0.00,0.00,5.78,21.5,5
0.00,0.00,0.00,0.00,63.50,21.5,1
0.00,0.00,0.00,0.00,70.00,21.5,2
