Timestamp,1. Date,2. Time,3. Cameron Basement: Enter the number of people,4. Cameron Main Floor:  Enter the number of people,5. Anything to note? Please share with Library staff any concerns or issues you observed during your shift. 
"Monday, May 8, 2023 at 6:33:58 PM",5/8/2023,6:30 pm,17,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - 
The main double entry doors to basement were not closing properly when somebody leaves from inside pushing them open - No other issue found."
"Monday, May 8, 2023 at 7:38:16 PM",5/8/2023,7:30 pm,7,1,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue other than basement entry double doors not closing properly."
"Monday, May 8, 2023 at 8:31:10 PM",5/8/2023,8:30 pm,5,0,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report. "
"Monday, May 8, 2023 at 9:34:52 PM",5/8/2023,9:30 pm,2,0,"Patrolled Cameron Library Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 9, 2023 at 6:31:10 PM",5/9/2023,6:30 pm,13,8,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 9, 2023 at 7:35:16 PM",8/9/2023,7:30 pm,9,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 9, 2023 at 8:34:33 PM",5/9/2023,8:30 pm,4,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 9, 2023 at 9:25:29 PM",5/9/2023,9:30 pm,2,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 10, 2023 at 6:38:35 PM",5/10/2023,6:30 pm,15,10,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, emergency exits, doors and washrooms - No issue to report."
"Wednesday, May 10, 2023 at 7:31:16 PM",5/10/2023,7:30 pm,17,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, emergency exits, doors and washrooms - No issue to report."
"Wednesday, May 10, 2023 at 8:30:38 PM",5/10/2023,8:30 pm,16,1,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, emergency exits, doors and washrooms - No issue to report."
"Wednesday, May 10, 2023 at 9:35:10 PM",5/10/2023,9:30 pm,3,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, emergency exits, doors and washrooms - No issue to report."
"Thursday, May 11, 2023 at 6:31:05 PM",5/11/2023,6:30 pm,19,10,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 11, 2023 at 7:35:47 PM",5/11/2023,7:30 pm,29,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 11, 2023 at 8:35:25 PM",5/11/2023,8:30 pm,19,2,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 11, 2023 at 9:32:14 PM",5/11/2023,9:30 pm,7,2,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 12, 2023 at 5:27:05 PM",5/12/2023,5:30 pm (Fri - Sat - Sun only),26,16,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 12, 2023 at 6:36:33 PM",5/12/2023,6:30 pm,22,7,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 12, 2023 at 7:26:22 PM",5/12/2023,7:30 pm,15,6,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 12, 2023 at 8:34:22 PM",5/12/2023,8:30 pm,11,1,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 12, 2023 at 9:31:49 PM",5/12/2023,9:30 pm,0,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - Power outage around 9pm; power hasn’t been back yet at 9:30 pm - No students in the library - access readers also not working hence no entry to the library at this point for anyone - No other issue to report."
"Saturday, May 13, 2023 at 5:40:28 PM",5/13/2023,5:30 pm (Fri - Sat - Sun only),25,4,
"Saturday, May 13, 2023 at 6:32:14 PM",5/13/2023,6:30 pm,18,4,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 13, 2023 at 7:37:14 PM",5/13/2023,7:30 pm,9,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 13, 2023 at 8:30:18 PM",5/13/2023,8:30 pm,6,1,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 13, 2023 at 9:32:29 PM",5/13/2023,9:30 pm,3,0,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
