,Day,Month,Year,Time,Basement,Main_floor,Second_floor,Third_floor,Fourth_floor
1,30,1,2023,17.50,78,126,115,43,47
2,30,1,2023,20.00,64,34,44,17,6
3,30,1,2023,21.50,62,0,0,0,0
4,31,1,2023,17.50,80,123,136,43,36
5,31,1,2023,20.00,65,32,17,10,12
6,31,1,2023,21.50,65,0,0,0,0
7,1,2,2023,17.50,94,152,141,53,42
8,1,2,2023,20.00,80,34,36,12,12
9,1,2,2023,21.50,82,0,0,0,0
10,2,2,2023,17.50,94,148,171,45,34
11,2,2,2023,20.00,61,43,42,14,19
12,2,2,2023,21.50,65,0,0,0,0
13,3,2,2023,17.50,74,114,142,32,24
14,3,2,2023,20.00,54,0,0,0,0
15,4,2,2023,17.00,78,0,0,0,0
16,4,2,2023,20.00,76,0,0,0,0
17,5,2,2023,17.00,72,59,20,8,13
18,5,2,2023,20.00,64,0,0,0,0
19,6,2,2023,17.50,127,156,147,58,39
20,6,2,2023,20.00,85,47,55,9,7
21,6,2,2023,21.50,88,0,0,0,0
22,7,2,2023,17.50,83,135,123,49,42
23,7,2,2023,20.00,65,31,54,11,8
24,7,2,2023,21.50,77,0,0,0,0
25,8,2,2023,17.50,104,155,123,44,40
26,8,2,2023,20.00,82,32,20,11,12
27,8,2,2023,21.50,74,0,0,0,0
28,9,2,2023,17.50,89,149,143,47,38
29,9,2,2023,20.00,71,61,40,9,8
30,9,2,2023,21.50,75,0,0,0,0
31,10,2,2023,17.50,111,127,86,17,19
32,10,2,2023,20.00,101,0,0,0,0
33,11,2,2023,17.00,98,0,0,0,6
34,11,2,2023,17.00,98,0,0,0,0
35,11,2,2023,20.00,51,0,0,0,0
36,12,2,2023,17.00,91,0,0,0,0
37,12,2,2023,20.00,67,0,0,0,0
38,13,2,2023,17.50,139,124,104,37,48
39,13,2,2023,20.00,82,26,24,11,14
40,13,2,2023,21.50,68,0,0,0,0
41,14,2,2023,17.50,109,134,115,43,34
42,14,2,2023,20.00,69,41,14,9,4
43,14,2,2023,21.50,68,0,0,0,0
44,15,2,2023,17.50,105,156,114,43,31
45,15,2,2023,20.00,79,45,27,9,13
46,15,2,2023,21.50,50,0,0,0,0
47,16,2,2023,17.50,88,144,121,48,43
48,16,2,2023,20.00,74,37,31,13,12
49,16,2,2023,21.50,53,0,0,0,0
50,17,2,2023,17.50,68,54,51,24,13
51,21,2,2023,17.50,27,36,3,2,10
52,21,2,2023,20.00,16,17,3,1,2
53,22,2,2023,17.50,17,26,18,7,8
54,22,2,2023,20.00,19,8,6,0,1
55,23,2,2023,20.00,24,12,10,4,7
56,24,2,2023,17.50,25,15,10,6,4
57,24,2,2023,20.00,23,0,0,0,0
58,27,2,2023,17.50,82,156,212,35,32
59,27,2,2023,20.00,73,43,26,13,9
60,28,2,2023,17.50,93,100,76,29,24
61,28,2,2023,20.00,59,31,18,7,10
62,1,3,2023,17.50,79,125,73,35,30
63,1,3,2023,20.00,82,33,25,10,8
64,2,3,2023,17.50,71,84,100,47,31
65,2,3,2023,20.00,70,25,16,5,4
66,3,3,2023,17.50,80,79,91,26,27
67,6,3,2023,17.50,81,110,95,42,41
68,6,3,2023,20.00,61,30,27,11,8
69,7,3,2023,17.50,118,143,92,44,30
70,7,3,2023,20.00,66,40,31,11,9
71,8,3,2023,17.50,87,116,92,55,48
72,8,3,2023,20.00,63,33,23,8,13
73,9,3,2023,17.50,91,124,92,40,34
74,9,3,2023,20.00,52,33,17,15,10
75,13,3,2023,17.50,86,112,82,42,29
76,13,3,2023,20.00,56,35,21,16,5
77,14,3,2023,17.50,99,106,88,19,38
78,14,3,2023,20.00,80,58,92,18,20
79,15,3,2023,17.50,95,151,130,56,37
80,15,3,2023,20.00,76,42,13,31,11
81,16,3,2023,17.50,74,138,80,37,41
82,16,3,2023,20.00,72,32,14,15,9
83,17,3,2023,17.50,94,115,124,43,28
84,20,3,2023,17.50,67,79,89,29,35
85,20,3,2023,20.00,9,37,33,13,11
86,21,3,2023,17.50,88,107,104,33,46
87,21,3,2023,20.00,53,41,17,8,14
88,22,3,2023,17.50,59,128,78,19,27
89,22,3,2023,20.00,62,55,27,9,18
90,23,3,2023,17.50,67,128,82,35,43
91,23,3,2023,20.00,50,39,26,13,14
92,24,3,2023,17.50,64,73,46,27,23
93,27,3,2023,17.50,62,98,91,46,26
94,27,3,2023,20.00,52,45,18,7,14
95,28,3,2023,17.50,79,128,78,33,26
96,28,3,2023,20.00,67,45,31,10,12
97,29,3,2023,17.50,96,134,58,23,27
98,30,3,2023,17.50,65,118,83,29,22
99,30,3,2023,20.00,34,52,10,9,11
100,31,3,2023,17.50,61,96,58,26,13
101,3,4,2023,17.50,85,142,82,38,34
102,3,4,2023,20.00,72,47,19,11,15
103,4,4,2023,17.50,88,96,49,26,23
104,4,4,2023,20.00,80,42,16,20,15
105,5,4,2023,17.50,70,114,177,26,31
106,5,4,2023,20.00,41,38,8,5,19
107,6,4,2023,17.50,71,128,59,45,23
108,6,4,2023,20.00,49,38,12,7,4
109,11,4,2023,17.50,136,124,64,32,27
110,11,4,2023,20.00,91,48,18,18,10
111,12,4,2023,17.50,98,89,75,22,30
112,12,4,2023,20.00,80,40,20,8,13
113,13,4,2023,17.50,102,98,58,23,25
114,13,4,2023,20.00,83,41,33,7,8
115,14,4,2023,17.50,104,78,60,31,33
116,17,4,2023,17.50,117,89,65,21,20
117,18,4,2023,17.50,127,110,45,20,22
118,18,4,2023,20.00,117,55,30,30,15
119,19,4,2023,17.50,127,68,63,29,28
120,19,4,2023,20.00,138,21,23,7,7
121,20,4,2023,17.50,75,87,69,26,25
122,20,4,2023,20.00,84,25,28,11,11
123,21,4,2023,17.50,79,62,34,20,18
124,24,4,2023,17.50,85,67,35,18,19
125,24,4,2023,20.00,121,46,15,21,8
126,25,4,2023,17.50,45,40,25,13,12
127,26,4,2023,17.50,54,33,21,11,6
128,26,4,2023,20.00,28,8,10,3,3
129,27,4,2023,17.50,51,24,15,8,3
130,27,4,2023,20.00,34,8,4,0,1
1,8,5,2023,18.50,17,3,0,0,0
2,8,5,2023,19.50,7,1,0,0,0
3,8,5,2023,20.50,5,0,0,0,0
4,8,5,2023,21.50,2,0,0,0,0
5,9,5,2023,18.50,13,8,0,0,0
6,9,5,2023,19.50,9,0,0,0,0
7,9,5,2023,20.50,4,0,0,0,0
8,9,5,2023,21.50,2,0,0,0,0
9,10,5,2023,18.50,15,10,0,0,0
10,10,5,2023,19.50,17,3,0,0,0
11,10,5,2023,20.50,16,1,0,0,0
12,10,5,2023,21.50,3,0,0,0,0
13,11,5,2023,18.50,19,10,0,0,0
14,11,5,2023,19.50,29,3,0,0,0
15,11,5,2023,20.50,19,2,0,0,0
16,11,5,2023,21.50,7,2,0,0,0
17,12,5,2023,17.50,26,16,0,0,0
18,12,5,2023,18.50,22,7,0,0,0
19,12,5,2023,19.50,15,6,0,0,0
20,12,5,2023,20.50,11,1,0,0,0
21,12,5,2023,21.50,0,0,0,0,0
22,13,5,2023,17.50,25,4,0,0,0
23,13,5,2023,18.50,18,4,0,0,0
24,13,5,2023,19.50,9,3,0,0,0
25,13,5,2023,20.50,6,1,0,0,0
26,13,5,2023,21.50,3,0,0,0,0
27,14,5,2023,17.50,13,7,0,0,0
28,14,5,2023,18.50,11,3,0,0,0
29,14,5,2023,19.50,12,2,0,0,0
30,14,5,2023,20.50,8,1,0,0,0
31,14,5,2023,21.50,5,0,0,0,0
32,15,5,2023,18.50,32,11,0,0,0
33,15,5,2023,19.50,29,11,0,0,0
34,15,5,2023,20.50,21,3,0,0,0
35,15,5,2023,21.50,9,2,0,0,0
36,16,5,2023,18.50,37,16,0,0,0
37,16,5,2023,19.50,33,11,0,0,0
38,16,5,2023,20.50,11,5,0,0,0
39,16,5,2023,21.50,9,2,0,0,0
40,17,5,2023,18.50,42,26,0,0,0
41,17,5,2023,19.50,32,17,0,0,0
42,17,5,2023,20.50,24,7,0,0,0
43,17,5,2023,21.50,16,7,0,0,0
44,18,5,2023,18.50,18,13,0,0,0
45,18,5,2023,19.50,18,10,0,0,0
46,18,5,2023,20.50,19,6,0,0,0
47,18,5,2023,21.50,6,2,0,0,0
48,19,5,2023,17.50,13,22,0,0,0
49,19,5,2023,18.50,13,17,0,0,0
50,19,5,2023,19.50,13,12,0,0,0
51,19,5,2023,20.50,10,4,0,0,0
52,19,5,2023,21.50,5,2,0,0,0
53,20,5,2023,17.50,17,1,0,0,0
54,20,5,2023,18.50,13,0,0,0,0
55,20,5,2023,19.50,10,1,0,0,0
56,20,5,2023,20.50,5,1,0,0,0
57,20,5,2023,21.50,3,1,0,0,0
58,21,5,2023,17.50,16,10,0,0,0
59,21,5,2023,18.50,9,15,0,0,0
60,21,5,2023,19.50,15,6,0,0,0
61,21,5,2023,20.50,5,14,0,0,0
62,21,5,2023,21.50,6,1,0,0,0
63,23,5,2023,18.50,19,16,0,0,0
64,23,5,2023,19.50,14,18,0,0,0
65,23,5,2023,20.50,24,7,0,0,0
66,23,5,2023,21.50,9,3,0,0,0
67,24,5,2023,18.50,28,9,0,0,0
68,24,5,2023,19.50,7,24,0,0,0
69,24,5,2023,20.50,16,4,0,0,0
70,24,5,2023,21.50,6,3,0,0,0
71,25,5,2023,18.50,20,14,0,0,0
72,25,5,2023,19.50,12,19,0,0,0
73,25,5,2023,20.50,7,18,0,0,0
74,25,5,2023,21.50,10,2,0,0,0
