Timestamp,Day of the Week,Time,Cameron Basement: Enter the number of people,Cameron Main Floor:  Enter the number of people,Cameron 2nd Floor: Enter the number of people,Cameron 3rd Floor: Enter the number of people,Cameron 4th Floor: Enter the number of people
1/30/2023 17:55:22,Monday,5:30 pm,78,126,115,43,47
1/30/2023 20:26:32,Monday,8:00 pm,64,34,44,17,6
1/30/2023 21:18:53,Monday,9:30 pm (basement only),62,NA,NA,NA,NA
1/31/2023 17:45:30,Tuesday,5:30 pm,80,123,136,43,36
1/31/2023 20:41:47,Tuesday,8:00 pm,65,32,17,10,12
1/31/2023 21:12:14,Tuesday,9:30 pm (basement only),65,,,,
2/1/2023 17:34:21,Wednesday,5:30 pm,94,152,141,53,42
2/1/2023 20:47:20,Wednesday,8:00 pm,80,34,36,12,12
2/1/2023 21:16:20,Wednesday,9:30 pm (basement only),82,0,0,0,0
2/2/2023 17:31:05,Thursday,5:30 pm,94,148,171,45,34
2/2/2023 20:00:02,Thursday,8:00 pm,61,43,42,14,19
2/2/2023 21:46:06,Thursday,9:30 pm (basement only),65,0,0,0,0
2/3/2023 17:33:00,Friday,5:30 pm,74,114,142,32,24
2/3/2023 20:03:29,Friday,8:00 pm,54,0,0,0,0
2/4/2023 18:01:55,Saturday,5:00 pm (weekends only),78,,,,
2/4/2023 19:47:31,Saturday,8:00 pm,76,0,0,0,0
2/5/2023 17:03:49,Sunday,5:00 pm (weekends only),72,59,20,8,13
2/5/2023 20:07:55,Sunday,8:00 pm,64,0,0,0,0
2/6/2023 17:37:45,Monday,5:30 pm,127,156,147,58,39
2/6/2023 20:29:41,Monday,8:00 pm,85,47,55,9,7
2/6/2023 21:10:20,Monday,9:30 pm (basement only),88,,,,
2/7/2023 17:29:22,Tuesday,5:30 pm,83,135,123,49,42
2/7/2023 20:35:30,Tuesday,8:00 pm,65,31,54,11,8
2/7/2023 21:26:55,Tuesday,9:30 pm (basement only),77,,,,
2/8/2023 17:35:54,Wednesday,5:30 pm,104,155,123,44,40
2/8/2023 20:44:58,Wednesday,8:00 pm,82,32,20,11,12
2/8/2023 21:08:52,Wednesday,9:30 pm (basement only),74,,,,
2/9/2023 17:36:27,Thursday,5:30 pm,89,149,143,47,38
2/9/2023 20:31:57,Thursday,8:00 pm,71,61,40,9,8
2/9/2023 21:10:05,Thursday,9:30 pm (basement only),75,,,,
2/10/2023 17:45:01,Friday,5:30 pm,111,127,86,17,19
2/10/2023 19:21:42,Friday,8:00 pm,101,0,0,0,0
2/11/2023 17:14:25,Saturday,5:00 pm (weekends only),98,,,,6
